Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
967,True,0.032446475,Coh2,0.025,0.0,0.05,0.08,0.0,1.0,0.001434737,0.0,0.0,1.0
968,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
969,True,0.032446475,Coh2,0.025,0.0,0.05,0.08,0.0,0.597907,0.003521053,0.0,0.0,1.0
970,False,0.0486697,Coh2,0.05,0.0,0.1,0.28,0.0,0.0208996,0.352562105,1.0,0.0,1.0
971,True,0.056497175,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
972,False,0.032446475,Coh2,0.025,0.0,0.05,0.16,0.0,1.0,0.003515789,0.0,0.0,1.0
973,False,0.169491525,Coh2,0.325,0.34802785,0.25,0.48,0.266666667,0.019784,0.638474737,0.0,1.0,2.0
974,False,0.11664075,Coh2,0.1,0.25773195,0.1,0.16,0.066666667,0.00521451,0.807463158,0.0,1.0,3.0
975,False,0.146771025,Coh2,0.225,0.273722625,0.1,0.28,0.233333333,0.00715264,1.0,0.0,0.0,4.0
976,True,0.125944575,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,5.0
977,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
978,True,0.056497175,Coh2,0.075,0.116009275,0.05,0.08,0.066666667,0.00769015,0.273761053,0.0,1.0,2.0
979,False,0.032446475,Coh2,0.025,0.0,0.05,0.08,0.0,0.0210464,0.100029474,0.0,0.0,1.0
980,False,0.11299435,Coh2,0.525,0.23201855,0.15,0.36,0.6,0.0622144,0.152274737,0.0,1.0,2.0
981,False,0.155521,Coh2,0.175,0.343642625,0.15,0.2,0.133333333,0.00572738,0.918946316,0.0,1.0,3.0
982,False,0.146771025,Coh2,0.1,0.273722625,0.1,0.12,0.066666667,0.0191592,0.164824211,0.0,1.0,4.0
983,False,0.0,Coh2,0.05,0.166666675,0.0,0.04,0.066666667,0.001,0.0,0.0,0.0,5.0
984,False,0.319148925,Coh2,0.05,0.0,0.1,0.12,0.0,0.0824606,0.038295789,1.0,0.0,6.0
985,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
986,True,0.0,Coh2,0.15,0.0529661,0.0,0.04,0.2,0.001,0.0,0.0,1.0,1.0
987,True,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,1.0,0.001289474,0.0,0.0,1.0
988,False,0.084745775,Coh3,0.2,0.174013925,0.1,0.12,0.2,0.0451542,0.069935789,0.0,1.0,1.0
989,False,0.0,Coh3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
990,False,0.09784735,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
991,False,0.0,Coh3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
992,False,0.21276595,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,5.0
993,True,0.084745775,Coh3,0.075,0.174013925,0.1,0.12,0.033333333,0.03725,0.084775789,0.0,1.0,1.0
994,False,0.14124295,Coh3,0.1,0.0,0.2,0.16,0.0,1.0,0.002868421,1.0,0.0,1.0
995,True,0.0777605,Coh3,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,2.0
996,False,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.130319,0.016154737,0.0,0.0,1.0
997,False,0.169491525,Coh2,0.125,0.0,0.25,0.28,0.0,0.00854154,0.862656842,0.0,0.0,2.0
998,True,0.0777605,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,3.0
999,True,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.0124281,0.169394737,0.0,0.0,1.0
1000,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1001,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1002,True,0.032446475,Coh2,0.35,0.1059322,0.05,0.16,0.433333333,0.0136555,0.308338947,0.0,1.0,1.0
1003,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,1.0,0.0,1.0
1004,False,0.084745775,Coh2,0.05,0.0,0.1,0.08,0.0,1.0,9.14737E-4,0.0,0.0,2.0
1005,True,0.11664075,Coh2,0.05,0.0,0.1,0.24,0.0,0.00821983,0.76836,0.0,0.0,3.0
1006,True,0.0777605,Coh4,0.15,0.1718213,0.05,0.16,0.166666667,0.0482864,0.087198947,0.0,1.0,1.0
1007,True,0.2259887,Coh3,0.525,0.4640371,0.35,0.48,0.466666667,0.0137121,0.921198947,0.0,0.0,1.0
1008,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1009,True,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.66379,0.003171579,0.0,0.0,1.0
1010,False,0.14124295,Coh3,0.25,0.2900232,0.2,0.36,0.2,0.0121005,0.782913684,1.0,1.0,1.0
1011,True,0.19440125,Coh3,0.1,0.0,0.2,0.2,0.0,0.0326808,0.161047368,0.0,0.0,2.0
1012,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
